model,lever,n_intent_stated,dir_consistency,n_calib,calib_coverage,exact_match,within_0p5,corr_stated_realized,mean_abs_stated_minus_realized
gpt-4o,Second-order beliefs,87,0.977,130,0.8667,0.9154,0.9462,0.9843,0.4054
claude-3-5-haiku-20241022,Two-stage clock-exit descr.,120,1.0,138,0.92,0.2319,0.4855,0.9985,0.7051
gemini-2.0-flash,Two-stage clock-exit descr.,89,0.9775,115,0.7667,0.8261,0.8261,0.818,3.3648
google/gemma-3-27b-it,Two-stage clock-exit descr.,93,0.9247,146,0.9733,0.9521,0.9521,0.9985,0.1164
gpt-4o,Two-stage clock-exit descr.,105,0.9905,124,0.8267,0.9758,0.9758,0.999,0.0726
claude-3-5-haiku-20241022,WTA/WTP,140,0.9786,104,0.6933,0.5577,0.7019,0.9985,0.425
gemini-2.0-flash,WTA/WTP,136,1.0,139,0.9267,1.0,1.0,1.0,0.0
google/gemma-3-27b-it,WTA/WTP,44,0.7955,124,0.8986,0.879,0.9435,0.9941,0.2419
gpt-4o,WTA/WTP,121,1.0,139,0.9267,0.9784,0.9784,0.9404,0.4676
claude-3-5-haiku-20241022,Worst-case scaffold,145,0.9172,91,0.6067,0.4505,0.6593,0.9004,1.4396
gemini-2.0-flash,Worst-case scaffold,106,0.9906,112,0.8889,0.9732,0.9821,0.9716,0.3973
google/gemma-3-27b-it,Worst-case scaffold,28,0.8571,128,0.9481,0.9141,0.9766,0.9957,0.1586
gpt-4o,Worst-case scaffold,98,0.9592,106,0.7067,0.9245,0.9906,0.9998,0.0302
claude-3-5-haiku-20241022,axis1_contingent_baseline,110,0.9364,105,0.7447,0.4095,0.581,0.9973,0.6962
gemini-2.0-flash,axis1_contingent_baseline,146,1.0,146,0.9733,0.9932,1.0,1.0,0.0034
google/gemma-3-27b-it,axis1_contingent_baseline,12,1.0,143,0.9728,0.8462,0.8881,0.9909,0.5042
gpt-4o,axis1_contingent_baseline,109,1.0,113,0.7533,0.9115,0.9646,0.9981,0.1204
claude-3-5-haiku-20241022,axis3_beliefs_baseline,134,0.9925,115,0.7667,0.5739,0.6957,0.9835,0.6635
gemini-2.0-flash,axis3_beliefs_baseline,134,1.0,141,0.94,0.9929,0.9929,0.9976,0.0681
google/gemma-3-27b-it,axis3_beliefs_baseline,11,1.0,139,0.9267,0.9281,0.9568,0.9977,0.1518
gpt-4o,axis3_beliefs_baseline,106,0.9906,132,0.88,0.9545,0.9773,0.9563,0.4341
claude-3-5-haiku-20241022,loss_aversion_baseline,118,0.9407,112,0.7467,0.4196,0.5893,0.9974,0.6768
gemini-2.0-flash,loss_aversion_baseline,134,1.0,134,0.971,0.9925,1.0,1.0,0.0037
google/gemma-3-27b-it,loss_aversion_baseline,11,1.0,124,0.9612,0.8468,0.8871,0.9903,0.5048
gpt-4o,loss_aversion_baseline,109,1.0,113,0.7533,0.9115,0.9646,0.9981,0.1204
