Axis,Intervention,Auction,N,Mean_Bid_Ratio,Std_Bid_Ratio,Optimal_Ratio,Distance_from_Optimal
Higher-Order Beliefs,First-Order,TPSB,125,0.8822502003852299,0.21002205145437938,2.0,1.11774979961477
Higher-Order Beliefs,Second-Order,FPSB,131,0.8288611151239825,0.139573890821959,0.6666666666666666,0.1621944484573159
Higher-Order Beliefs,Second-Order,TPSB,149,0.8353938406386564,0.15259881539731893,2.0,1.1646061593613437
Higher-Order Beliefs,Common Know,FPSB,125,0.9707758497197465,0.08524627734920472,0.6666666666666666,0.3041091830530799
Higher-Order Beliefs,Common Know,TPSB,149,0.8461912784379294,0.31122586043900474,2.0,1.1538087215620707
Prospect Theory,LA: Baseline,FPSB,143,0.8353841924834151,0.1560937369682162,0.6666666666666666,0.16871752581674848
Prospect Theory,LA: Baseline,TPSB,149,0.8251041770096635,0.18818695313817066,2.0,1.1748958229903366
Prospect Theory,LA: Gain Frame,FPSB,149,0.825910004243865,0.16770193651850257,0.6666666666666666,0.15924333757719833
Prospect Theory,LA: Gain Frame,TPSB,146,0.8008555309361702,0.20125059270902595,2.0,1.1991444690638298
Prospect Theory,LA: Loss Frame,FPSB,149,0.7603682787371132,0.16273478337606592,0.6666666666666666,0.09370161207044658
Prospect Theory,LA: Loss Frame,TPSB,125,0.7667935657844223,0.1807758051506776,2.0,1.2332064342155777
Prospect Theory,LA: Mixed Frame,FPSB,146,0.7731111209207159,0.1724075883178728,0.6666666666666666,0.10644445425404925
Prospect Theory,LA: Mixed Frame,TPSB,137,0.7898494789865784,0.18008386034102947,2.0,1.2101505210134216
Prospect Theory,LA: Endowment,FPSB,125,0.8067909299913992,0.18806134936075367,0.6666666666666666,0.1401242633247326
Prospect Theory,LA: Endowment,TPSB,137,0.7563621402740757,0.23979112344403464,2.0,1.2436378597259243
Prospect Theory,LA: WTA vs WTP,FPSB,149,0.8531851142450507,0.11231439403418988,0.6666666666666666,0.1865184475783841
Prospect Theory,LA: WTA vs WTP,TPSB,146,0.9106269626317517,0.1337022282757692,2.0,1.0893730373682482
Prospect Theory,Risk Averse,FPSB,125,0.7695938532944336,0.11613919968455644,0.6666666666666666,0.10292718662776701
Prospect Theory,Risk Averse,TPSB,149,0.762179541353771,0.14551792017074608,2.0,1.2378204586462291
Prospect Theory,Risk Neutral,FPSB,146,0.8221764884446416,0.1394324304773001,0.6666666666666666,0.155509821777975
Prospect Theory,Risk Neutral,TPSB,149,0.8455254408428574,0.2104744005654196,2.0,1.1544745591571426
Prospect Theory,Risk Seeking,FPSB,149,0.924454423281654,0.13609684323459997,0.6666666666666666,0.2577877566149873
Prospect Theory,Risk Seeking,TPSB,137,1.1439989437027802,0.4468271719261329,2.0,0.8560010562972198
Strategy Revelation,Correct Strategy,FPSB,149,0.6692704966660501,0.008825285960871959,0.6666666666666666,0.002603829999383467
Strategy Revelation,Correct Strategy,TPSB,149,1.785850860080529,0.32312938494810917,2.0,0.21414913991947104
Strategy Revelation,Wrong Strategy,FPSB,137,0.5058825670073358,0.01920501293854686,0.6666666666666666,0.16078409965933083
Strategy Revelation,Wrong Strategy,TPSB,149,0.5122630851086009,0.022665725266522687,2.0,1.487736914891399
